20
82
96
[0, '10100111', '00010011', '10100111', '10100111', 0, 98, 2, 0, 0, 0, 0, 0, 0, 0, 0]
this is happening
10107540
[0, '10100111', '00010011', '11111110', '11111110', 0, 118, 12, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10100011', '11100011', 0, 120, 13, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11100011', '11100011', 0, 120, 13, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11001011', '11011111', 0, 122, 14, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11011111', '11011111', 0, 122, 14, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11110000', '10001101', 0, 124, 15, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10001101', '10001101', 0, 124, 15, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10000101', '10001101', 0, 126, 16, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10001101', '10001101', 0, 126, 16, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10100100', '10101101', 0, 128, 17, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10101101', '10101101', 0, 128, 17, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11101111', '11101100', 0, 130, 18, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11101100', '11101100', 0, 130, 18, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11001110', '10110010', 0, 132, 19, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10110010', '10110010', 0, 132, 19, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11100101', '10100000', 0, 134, 20, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10100000', '10100000', 0, 134, 20, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11010001', '11010111', 0, 136, 21, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11010111', '11010111', 0, 136, 21, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10100010', '11001101', 0, 138, 22, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11001101', '11001101', 0, 138, 22, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11010110', '11111100', 0, 140, 23, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11111100', '11111100', 0, 140, 23, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10101000', '10100000', 0, 142, 24, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10100000', '10100000', 0, 142, 24, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11101001', '10111101', 0, 144, 25, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10111101', '10111101', 0, 144, 25, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10110011', '11111100', 0, 146, 26, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11111100', '11111100', 0, 146, 26, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10000000', '11010011', 0, 148, 27, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11010011', '11010011', 0, 148, 27, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10110101', '10101000', 0, 150, 28, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10101000', '10101000', 0, 150, 28, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11010110', '10111011', 0, 152, 29, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10111011', '10111011', 0, 152, 29, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10001100', '11001001', 0, 154, 30, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11001001', '11001001', 0, 154, 30, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11001000', '11100110', 0, 156, 31, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11100110', '11100110', 0, 156, 31, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11011001', '10111000', 0, 158, 32, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10111000', '10111000', 0, 158, 32, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11110111', '10110111', 0, 160, 33, 0, 0, 0, 0, 0, 0, 0, 0]
